week,num_trips,passenger_count,total_amount,trip_distance
2023-03-13,787016,1044648.0,22096056.76999918,3079735.4700000193
2023-03-06,774813,1019293.0,21192570.669999707,2739557.760000021
2002-12-30,5,7.0,326.7,62.67
2008-12-29,2,2.0,65.95,14.33
2014-11-17,1,2.0,52.38,6.43
2023-02-20,55,54.0,910.8999999999999,0.01
2023-02-27,560895,739953.0,15181854.489999702,2412606.4199999953
2001-01-01,3,5.0,171.7,34.22
2023-03-27,546619,707576.0,15487225.759999387,2120015.0300000105
2023-03-20,734288,969859.0,20675428.18999931,2935650.0000000116
2023-04-03,69,100.0,1693.55,179.48000000000002
